Word,Description,Description OK,Description (updated),Description(Final),Example(Final),Alternate spellings,Remarks (if applicable),POS,Pronun,Origin,License,Reference,
balek kampung,"Sure thing!\n\n""Balek kampung"" is a popular phrase in Singlish that means ""returning to one's hometown or village"". It is often used in the context of visiting one's family or childhood home. \n\nPronunciation: bah-lek kam-pung \n\nExample usage: ""I'm so excited to balek kampung and see my parents this weekend!""\n\nNote: ""balek"" is a variation of the Malay word ""balik"", which means ""to return"". ""Kampung"" is a Malay word that refers to a village or rural area.",Partial - other errors,"Sure thing!\n\n""Balik kampung"" is a popular phrase in Singlish that means ""returning to one's hometown or village"". It is often used in the context of visiting one's family or childhood home or simply going home. \n\nPronunciation: bah-lek kam-pung \n\nExample usage: ""I'm so excited to balek kampung and see my parents this weekend!""\n\nNote: ""balek"" is a variation of the Malay word ""balik"", which means ""to return"". ""Kampung"" is a Malay word that refers to a village or rural area.","Balik kampung is a popular phrase in Singlish that means ""returning to one's hometown or village"". It is often used in the context of visiting one's family or childhood home or simply going home. Note: ""balek"" is a variation of the Malay word ""balik"", which means ""to return"". ""Kampung"" is a Malay word that refers to a village or rural area.",1. I'm so excited to balek kampung and see my parents this weekend!,balik kampong,,V,"bAlIk kAmp@UN
bAleIk kAmp@UN",Malay,,http://www.mysmu.edu/faculty/jacklee/,FALSE
balls drop,"Sure, here's the Singlish dictionary entry for 'balls drop':\n\nBalls drop (noun): a state of sudden and extreme disappointment or shock, often arising from unexpected bad news or events. \n\nPronunciation: bawls drahp \n\nExample: ""When I failed my driving test for the third time, my balls really drop la. I was so disappointed.""\n\nNote: This phrase is commonly used in Singlish to describe a feeling of deep disappointment or shock, and is derived from the physical sensation of the testicles dropping suddenly due to stress or anxiety.",Redirect to,"see ""balls shrink""",,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,TRUE
balls shrink,"Sure, here's how I would define ""balls shrink"" in Singlish:\n\nBalls shrink (verb): to become scared or intimidated in a particular situation, often resulting in a loss of confidence or bravery.\n\nExample: When the boss asked him to present his project in front of the whole team, he felt his balls shrink.\n\nPronunciation: /bôls/ /shriNGk/\n\nNote: This phrase is not meant to be taken literally, but rather figuratively to express a feeling of fear or timidity. It is considered informal and may be considered vulgar in certain contexts.",Not sure (likely old fashioned),"Balls shrink (verb): to become scared or intimidated in a particular situation, often resulting in a loss of confidence or bravery.\n\nExample: When the boss asked him to present his project in front of the whole team, his balls shrink.\n\nPronunciation: /bôls/ /shriNGk/\n\nNote: This phrase is not meant to be taken literally, but rather figuratively to express a feeling of fear or timidity.","To become scared or intimidated in a particular situation, often resulting in a loss of confidence or bravery. Note: This phrase is not meant to be taken literally, but rather figuratively to express a feeling of fear or timidity.","1. When the boss asked him to present his project in front of the whole team, his balls shrink.",,,V,,English,,http://www.mysmu.edu/faculty/jacklee/,FALSE
balukoo,"Balukoo is a Singlish slang word that means 'nonsense' or 'rubbish'. It is commonly used to describe something that is untrue or foolish. It is pronounced as buh-loo-koo with emphasis on the first syllable.\n\nExample: ""Don't listen to him, what he said is just balukoo.""",Redirect to,"Balukoo comes from the Malay term ""buah duku"" which is a fruit. The term balukoo is used to refer to bruises.",see 'baluku',,,,N,bAluku,Malay,,http://www.mysmu.edu/faculty/jacklee/,FALSE
Baluku  (bruise with a bump),"Baluku (bruise with a bump)\n\nPronunciation: bah-loo-koo\n\nAlternate spellings: Balukoo\n\nDefinition:\nBaluku is a Singlish term used to describe a bruise that is accompanied by a visible and raised bump on the skin. It is derived from Malay, where ""baluku"" refers to a bruise. This term is commonly used in Singapore to describe injuries that result in a swelling or lump along with the discoloration of the skin caused by internal bleeding.\n\nExample:\n""Ouch! I knocked my knee against the table, and now I have a painful baluku!""\n\nNote:\nThe term ""baluku"" is typically used in informal conversations and may not be as commonly understood in formal or professional settings.",Yes,,"Baluku comes from the Malay term ""buah duku"" which is a fruit. It refers to a bruise with a bump.","I hit my head, now got big baluku","balukoo, duku langsat",,N,bAluku,Malay,CC-By-NC 4.0,Red-Dot Baby-Talk Quiz 1.0,FALSE
ban mian,"Sure, here's the entry for 'ban mian':\n\nban mian (noun): a kind of Chinese noodle dish typically served in a soup. The noodles are made from wheat flour and are slightly thicker and flatter than other kinds of Chinese noodles.\n\nExample usage: ""Let's go have ban mian for lunch today!""\n\nPronunciation: /bahn mee-yahn/ (the 'ban' is pronounced like the English word 'bun'; the 'mian' sounds like 'me-yahn' with a slight emphasis on the 'me' syllable)",Mostly - ety/pron error,"Sure, here's the entry for 'ban mian':\n\nban mian (noun): a kind of Chinese noodle dish typically served in a soup. The noodles are made from wheat flour and are slightly thicker and flatter than other kinds of Chinese noodles.\n\nExample usage: ""Let's go have ban mian for lunch today!""\n\nPronunciation: /bahn mee-yan/ (the 'ban' is pronounced like the English word 'bun'; the 'mian' sounds like 'me-yan'). Also called ""ban mee""","A kind of Chinese noodle dish typically served in a soup. The noodles are made from wheat flour and are slightly thicker and flatter than other kinds of Chinese noodles. Also called ""ban mee""",1. Let's go have ban mian for lunch today!,,,N,bAn miEn,Mandarin,,http://www.mysmu.edu/faculty/jacklee/,FALSE
banana,"Sure, here is an entry for ""banana"":\n\nBanana (noun): \n\nPronunciation: buh-nah-nuh (with a flat 'a' sound)\n\nDefinition: In Singlish, ""banana"" is used to describe someone who is of Chinese descent but speaks little or no Mandarin/Cantonese and only speaks English. This term is derived from the idea that the person is ""yellow"" (Asian), but ""white"" (Westernized) on the inside like the fruit of a banana. It is not usually meant as an insult but rather a descriptor of someone's cultural background and language proficiency.\n\nExample: ""She's a banana lah, doesn't speak any Mandarin.""",Yes,,"In Singlish, ""banana"" is used to describe someone who is of Chinese descent but speaks little or no Mandarin/Cantonese and only speaks English. This term is derived from the idea that the person is ""yellow"" (Asian), but ""white"" (Westernized) on the inside like the fruit of a banana. It is not usually meant as an insult but rather a descriptor of someone's cultural background and language proficiency.","1. She's a banana lah, doesn't speak any Mandarin.",,,N,,English,,http://www.mysmu.edu/faculty/jacklee/,FALSE
"banana money, banana note","Sure, here's a dictionary entry for 'banana money' or 'banana note':\n\n---\n\nBA-NAA-NAH MUN-EE, BAH-NAH-NAH NOHT (noun)\n\nDefinition: A slang term used in Singapore and Malaysia to refer to the  $10 note, which is predominantly yellow in color.\n\nExample:\n""I only have banana money on me, can we split the bill?"" \n\nPronunciation: \n/Buh-naa-naah muh-nee, Buh-naah-nah noht/\n\nNotes:\nThis slang term originates from the yellow color of the $10 note, which is similar to the color of a ripe banana. It's a casual term and is commonly used in everyday conversations in Singapore and Malaysia.",No,"Sure, here's a dictionary entry for 'banana money' or 'banana note':\n\n---\n\nBA-NAA-NAH MUN-EE, BAH-NAH-NAH NOHT (noun)\n\nDefinition: A slang term used in Singapore and Malaysia originally referring to the old $10 note, which became worthless after World War II. It is now used in general to refer to worthless money.","A slang term used in Singapore and Malaysia originally referring to the old $10 note, which became worthless after World War II. It is now used in general to refer to worthless money.",,,,N,,English,,http://www.mysmu.edu/faculty/jacklee/,FALSE
bandung,"Sure, here's your requested dictionary entry:\n\nBandung - [bahn-dung]\n\nBandung is a popular drink in Singapore made with rose syrup, evaporated milk, and water. It is often enjoyed with ice and some people like to mix it with condensed milk as well. The drink has a sweet and refreshing taste and is often served at local food stalls or restaurants. 'Bandung' is also a Malay word that means 'city' and is the name of the capital city of West Java, Indonesia. \n\nExample sentence: ""Can I order a bandung with condensed milk, please?"" \n\nPronunciation tip: The word 'bandung' is pronounced as ""bahn-dung"" with the stress on the first syllable. Make sure to pronounce the 'ng' sound at the end of the word as well.",Yes,,"Bandung is a popular drink in Singapore made with rose syrup, evaporated milk, and water. It is often enjoyed with ice and some people like to mix it with condensed milk as well. The drink has a sweet and refreshing taste and is often served at local food stalls or restaurants. 'Bandung' is also a Malay word that means 'city' and is the name of the capital city of West Java, Indonesia. Pronunciation tip: The word 'bandung' is pronounced as ""bahn-dung"" with the stress on the first syllable. Make sure to pronounce the 'ng' sound at the end of the word as well.","1. Can I order a bandung with condensed milk, please?",,,N,"b""And@UN
bAndUN",Malay,,http://www.mysmu.edu/faculty/jacklee/,FALSE
bang,"Title: Bang\n\nDefinition:\nIn Singlish, the term ""bang"" is an onomatopoeic word used to describe a loud noise or a sudden impact. It is commonly used to convey the intense sound created by an explosion, collision, or a forceful action.\n\nPronunciation: \n/bæŋ/ (bang)\n\nAlternate Spellings: \nNone\n\nExample Sentences:\n1. ""Did you hear that loud bang? I think something crashed outside.""\n2. ""The fireworks display ended with a bang, stunning everyone attending the event.""\n3. ""I accidentally bumped into the table, and it made a loud bang.""\n\nUsage Notes:\n- The term ""bang"" is typically associated with describing loud and sudden noises caused by various activities or events.\n- It is essential to consider the context in which ""bang"" is used, as it can refer to both actual sounds and figurative situations.\n- This term can be used as both a noun and a verb in Singlish conversations. For example, ""There was a loud bang when the door closed"" (noun usage), or ""He banged the door shut angrily"" (verb usage).\n\nRelated Terms:\n1. Boom: Refers to a loud, deep sound associated with an explosion or a resonating impact, sometimes used interchangeably with ""bang"" in Singlish.\n2. Clang: Describes a loud, metallic sound produced by the collision of objects, similar in context to ""bang.""\n3. Kapow: A playful term used to mimic a sound effect, commonly used in comics or cartoons to describe a sudden explosion or impact.\n\nNote: Singlish, short for Singapore English, is a colloquial form of English widely spoken in Singapore. It incorporates words and phrases from various languages spoken in Singapore, including Malay, Mandarin Chinese, and Tamil, among others.",Redirect to,,see 'abang',,,,,,,CC-By-NC 4.0,Red-Dot Baby-Talk Quiz 1.0,TRUE
Bangla,"Bangla\n\nPronunciation: bung-lah\n\nAlternate spellings: Bengala\n\nDefinition:\nBangla is a term commonly used in Singapore to refer to the Bengali community and the language spoken by them. The Bengali community in Singapore hails from Bangladesh and the Indian state of West Bengal. Bangla is an Indo-Aryan language with its roots in the Brahmi script, and it is the seventh most spoken language in the world.\n\nExample:\n1. ""My Bangla friend invited me to celebrate the Bengali New Year at her place.""\n2. ""There's a great Bangla restaurant in Little India where you can try delicious Bengali cuisine.""\n\nNote: The term ""Bangla"" is also used as the official name of the language in Bangladesh, previously known as ""Bengali.""",No,,"A Bangladeshi (offensive, racial slur). (Wiktionary)",,,,N,baNgla,,CC BY-SA 4.0,Wiktionary,FALSE
